NAME                                      TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                      AGE
alertmanager-operated                     ClusterIP   None            <none>        9093/TCP,9094/TCP,9094/UDP   3h38m
monitoring-grafana                        ClusterIP   10.96.74.59     <none>        80/TCP                       3h38m
monitoring-kube-prometheus-alertmanager   ClusterIP   10.96.81.21     <none>        9093/TCP,8080/TCP            3h38m
monitoring-kube-prometheus-operator       ClusterIP   10.96.165.2     <none>        443/TCP                      3h38m
monitoring-kube-prometheus-prometheus     ClusterIP   10.96.168.215   <none>        9090/TCP,8080/TCP            3h38m
monitoring-kube-state-metrics             ClusterIP   10.96.148.86    <none>        8080/TCP                     3h38m
monitoring-prometheus-node-exporter       ClusterIP   10.96.161.229   <none>        9100/TCP                     3h38m
prometheus-operated                       ClusterIP   None            <none>        9090/TCP                     3h38m
